,year,province,household_size,Food_mean,Food_sd,Shelter_mean,Shelter_sd,Clothing_mean,Clothing_sd,Transportation_mean,Transportation_sd
1,2005,Newfoundland and Labrador,1,3414.51,1707.22,6522.66,4987.98,921.42,1487.41,3084.52,4839.99
2,2005,Newfoundland and Labrador,2,5425.03,2036.54,6622.08,4423.38,1804.93,1507.02,7015.61,7992.26
3,2005,Newfoundland and Labrador,3,7183.81,2567.33,8994.15,5826.01,2795.67,1919.67,9173.60,9149.43
4,2005,Newfoundland and Labrador,4,8428.00,2827.52,10676.26,5667.58,3394.84,1910.92,10096.40,8965.10
5,2005,Newfoundland and Labrador,5,10655.68,4508.19,11612.90,6672.68,4158.58,2697.72,10105.63,9726.75
6,2005,Newfoundland and Labrador,6,10989.06,4650.03,14345.06,9162.22,3528.75,2718.95,9641.38,6775.24
7,2005,Prince Edward Island,1,3406.21,1766.67,7221.10,3583.98,892.68,894.93,3199.04,3947.80
8,2005,Prince Edward Island,2,5582.41,2262.50,8906.24,5027.98,1775.18,1301.16,6998.09,6602.97
9,2005,Prince Edward Island,3,7078.04,2498.17,10342.17,4974.73,2238.17,1313.07,8537.81,6906.05
10,2005,Prince Edward Island,4,8798.69,2979.61,11820.25,6157.27,2975.26,1671.56,8457.15,4970.09
11,2005,Prince Edward Island,5,9068.68,2541.29,11808.35,4065.49,3353.24,1638.24,8393.32,6330.95
12,2005,Prince Edward Island,6,9517.22,2480.89,14933.33,3998.56,3720.00,2307.31,9157.78,7189.48
13,2005,Nova Scotia,1,3438.16,1856.49,6966.16,4258.79,829.73,896.10,3507.83,6192.87
14,2005,Nova Scotia,2,5977.00,2633.12,9254.99,6538.66,1927.87,1907.08,8489.75,9170.44
15,2005,Nova Scotia,3,7206.22,2634.76,11877.64,7223.82,2749.02,2363.45,8960.05,8850.41
16,2005,Nova Scotia,4,9072.36,3874.24,14231.48,7535.50,3122.45,2366.17,10902.48,10074.60
17,2005,Nova Scotia,5,10653.55,5744.95,15453.10,10641.49,3510.96,2852.59,10412.60,8939.97
18,2005,Nova Scotia,6,11057.71,5107.00,11838.29,4888.43,4382.59,3334.89,8893.94,7610.76
19,2005,New Brunswick,1,3265.69,1722.43,6641.45,4253.58,907.65,1037.67,3818.49,5997.94
20,2005,New Brunswick,2,5650.93,2526.75,8568.78,5586.49,1870.62,1765.47,8468.30,8916.40
21,2005,New Brunswick,3,7410.89,3012.82,9797.91,5629.14,2473.31,1781.99,10725.36,10757.58
22,2005,New Brunswick,4,8509.64,3227.54,11783.72,6454.72,3218.61,3166.57,9847.24,8480.72
23,2005,New Brunswick,5,9596.42,3415.66,11659.76,6540.10,3232.32,2389.80,11965.08,11554.86
24,2005,New Brunswick,6,11842.47,4472.19,12036.06,7873.94,4345.76,3243.94,11786.71,9501.31
25,2005,Quebec,1,3815.08,1972.91,7069.33,3925.22,1002.30,1118.79,3631.98,5776.84
26,2005,Quebec,2,6682.42,2551.54,9180.26,5717.26,1965.32,1955.92,7025.56,7897.34
27,2005,Quebec,3,8235.83,3025.70,11511.18,7121.42,2775.39,2337.11,8863.21,8169.44
28,2005,Quebec,4,10502.27,4064.33,13307.57,7489.11,4108.78,3530.84,11100.09,9645.89
29,2005,Quebec,5,11977.82,4413.62,13440.11,8983.55,4275.28,3339.08,11167.10,10167.14
30,2005,Quebec,6,11932.79,5003.86,13600.54,7798.67,4770.25,4029.05,8671.04,6605.18
31,2005,Ontario,1,4056.30,2394.23,10211.35,6658.47,1313.62,1484.09,4740.27,7651.86
32,2005,Ontario,2,6732.52,3365.45,12948.73,8231.66,2540.25,2934.66,9154.97,10195.30
33,2005,Ontario,3,7681.61,3418.74,16846.25,10656.47,3076.65,2719.13,11312.11,12013.82
34,2005,Ontario,4,9923.66,4857.53,19758.84,12485.93,4465.12,4189.98,14142.89,12862.10
35,2005,Ontario,5,10473.47,4411.74,21671.49,12061.87,4132.15,3223.94,13615.38,11711.00
36,2005,Ontario,6,11460.33,5777.77,19360.53,10416.58,4032.84,2851.07,14199.65,12775.91
37,2005,Manitoba,1,3553.58,2234.77,6117.76,3614.44,817.72,930.37,3299.60,6336.10
38,2005,Manitoba,2,6158.23,2961.05,9515.36,5837.97,2108.99,2213.41,8288.49,10431.38
